2025-04-28 15:59:58,789 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-28 15:59:59,875 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-28 16:00:04,037 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-28 16:00:25,789 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-28 16:00:29,631 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-28 16:00:33,948 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-28 16:02:08,509 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-28 16:02:10,763 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-28 16:02:17,044 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-28 16:02:45,169 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-29 14:33:19,555 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-04-29 14:33:19,556 | MainThread   | [INFO    ] | <module>            |: info
2025-04-29 14:33:19,558 | MainThread   | [WARNING ] | <module>            |: warning
2025-04-29 14:33:19,559 | MainThread   | [ERROR   ] | <module>            |: error
2025-04-29 14:33:19,561 | MainThread   | [CRITICAL] | <module>            |: critical
2025-04-29 14:33:23,212 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=3, releaselevel='final', serial=0)
2025-04-29 14:33:23,213 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-11-10.0.26100-SP0
2025-04-29 14:33:23,214 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-29 14:33:27,702 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-29 14:34:04,796 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-29 14:34:31,158 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-29 14:34:35,307 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-29 14:35:11,217 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-29 14:35:28,237 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-29 14:35:32,712 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-29 14:35:57,657 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-29 14:39:01,198 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-29 14:39:07,364 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-29 14:39:36,781 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-29 14:40:05,979 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-29 14:40:09,871 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-29 14:42:42,185 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-29 14:42:55,974 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
